Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-567.4044	-595.983	28.5786	0.2239877	0.2754173	4.190699
6	-564.1248	-592.4844	28.35958	0.5229105	0.2441254	4.190699
12	-563.332	-590.8484	27.51641	0.4448836	0.2441254	4.709676
18	-563.0862	-590.4625	27.37633	0.6367088	0.1642114	4.813219
24	-560.2046	-586.443	26.23834	0.6450614	0.2722556	5.268646
30	-561.2012	-590.6028	29.4016	0.2445662	0.3184945	3.649168
36	-558.5069	-588.027	29.52009	0.7324274	0.250342	3.391743
42	-561.7041	-590.1215	28.41742	0.7227044	0.2618548	4.017818
48	-563.2867	-592.8993	29.6126	1.032771	0.2134167	3.219895
54	-562.0061	-590.0112	28.00516	0.6810333	0.193892	4.382493
60	-565.7341	-595.108	29.37386	0.3912509	0.3303265	3.564913
66	-568.1447	-597.3608	29.21607	0.4689519	0.2276159	3.7572
72	-571.0637	-600.1602	29.09641	0.9318712	0.2486368	3.525423
78	-568.9241	-597.3438	28.4197	0.7502881	0.2490317	4.019648
84	-563.0562	-591.4529	28.39668	0.7502881	0.2460163	4.037316
90	-565.1883	-592.906	27.71762	0.6512581	0.2487641	4.47411
96	-565.4972	-594.7802	29.28299	0.7362179	0.3170817	3.433819
102	-562.0206	-591.4457	29.42513	0.9593688	0.2931518	3.251479
108	-564.2465	-593.2763	29.02989	0.9593688	0.1931232	3.639205
114	-563.6257	-593.0083	29.38254	0.7367768	0.3965403	3.277667
120	-570.0194	-599.2009	29.18148	0.7603366	0.2818812	3.526979
126	-559.4194	-588.7337	29.31428	0.841909	0.2818812	3.401707
132	-558.7536	-586.9279	28.17424	0.8343566	0.2360442	4.131345
138	-561.9732	-589.9858	28.01259	0.7543606	0.3361902	4.131345
144	-564.0451	-594.4147	30.36959	0.8138007	0.1679284	2.98259
150	-564.0904	-593.4796	29.38921	0.714798	0.1651196	3.62438
156	-575.5897	-604.4245	28.83479	0.8111651	0.3380445	3.62438
162	-571.6599	-602.6541	30.99416	0.9548015	0.224161	2.407493
168	-574.2697	-604.4894	30.21972	1.456646	0.1828994	2.653546
174	-566.2215	-592.8876	26.66607	0.3676279	0.3048029	5.142489
180	-569.7974	-598.4642	28.66673	0.6078491	0.3704799	3.799783
186	-570.5274	-599.4892	28.96189	0.4505144	0.4498926	3.633084
192	-565.5128	-593.1717	27.65892	0.3507916	0.343336	4.550612
198	-570.9691	-596.3328	25.36363	0.6209859	0.2344046	5.816617
204	-570.3013	-597.3026	27.00129	0.7504775	0.1873026	4.91741
210	-570.3941	-597.3059	26.91181	0.5761918	0.3118129	4.881243
216	-572.898	-599.3088	26.41083	0.3817383	0.2567166	5.340443
222	-576.4159	-601.577	25.16107	0.3817383	0.3819138	5.871792
228	-570.5548	-594.2888	23.73409	0.3415932	0.3819138	6.669012
234	-569.339	-592.5737	23.23474	0.2109089	0.3458098	7.048811
240	-563.7018	-588.2077	24.50592	0.4191701	0.3458098	6.248858
246	-566.5978	-591.6246	25.02677	0.2979297	0.2773125	6.116366
252	-567.373	-595.5544	28.1814	0.1132115	0.3142143	4.426296
258	-562.9918	-588.7416	25.74987	0.102554	0.2349565	5.888068
264	-563.7196	-591.6948	27.97528	0.07662956	0.3191445	4.556609
270	-562.541	-588.266	25.72507	0.37392	0.3113963	5.649286
276	-562.487	-590.4958	28.00887	0.6054014	0.2717063	4.302618
282	-566.3217	-592.8807	26.55906	0.3616156	0.395057	5.099427
288	-565.7079	-592.2173	26.50941	0.4850735	0.3582929	5.099427
294	-565.1243	-592.927	27.80268	0.8130561	0.2796984	4.290669
300	-574.0018	-602.1908	28.18903	0.3808442	0.3162521	4.268176
306	-579.4113	-605.7089	26.29762	0.6018082	0.2598341	5.277048
312	-578.2988	-606.9549	28.65607	0.9739654	0.2697982	3.725038
318	-570.7536	-600.4906	29.73705	0.8464557	0.5536114	2.838406
324	-566.3938	-596.6835	30.28973	1.027161	0.2015695	2.838406
330	-570.8259	-598.6647	27.83876	1.069299	0.3407566	4.045355
336	-567.6941	-598.51	30.81587	1.098195	0.2059585	2.462251
342	-567.4968	-598.7694	31.27259	1.511075	0.2059585	1.897068
348	-568.2567	-599.4777	31.22107	1.794357	0.1561352	1.846716
354	-567.1451	-597.4931	30.34795	1.170524	0.3181999	2.530254
360	-570.1427	-601.0429	30.90018	1.131683	0.4145118	2.075856
366	-569.1027	-596.7674	27.66472	0.9978549	0.1312449	4.514744
372	-565.2094	-594.5137	29.30426	0.9394241	0.1404813	3.592977
378	-562.2751	-590.7218	28.44669	0.8455685	0.3330227	3.834896
384	-567.7061	-596.7102	29.00416	0.5919305	0.2355848	3.795875
390	-564.2967	-592.2495	27.95273	0.6555794	0.2276266	4.371229
396	-562.3604	-590.0579	27.69743	0.3959042	0.3223183	4.529355
402	-565.7035	-594.3191	28.61557	0.6813731	0.2972909	3.878562
408	-563.955	-592.6425	28.68745	0.5371081	0.32922	3.878562
414	-562.4554	-591.2977	28.84227	0.7799261	0.1777605	3.878562
420	-566.8558	-594.7408	27.88505	0.7667645	0.3911189	4.132584
426	-574.2472	-602.4767	28.22951	0.5532868	0.2998784	4.168677
432	-571.7947	-599.8591	28.06439	0.577394	0.1940572	4.407264
438	-570.8217	-596.3934	25.57173	0.5151966	0.3099373	5.657726
444	-567.7023	-593.516	25.81378	0.4061473	0.2880852	5.612754
450	-568.6363	-594.6211	25.98477	0.2454475	0.4426073	5.431786
456	-571.1836	-595.5711	24.38747	0.2869165	0.3128669	6.424186
462	-571.9691	-598.2241	26.25497	0.3044122	0.4642826	5.229002
468	-574.8369	-602.7504	27.91354	0.4728211	0.4642826	4.206745
474	-572.7944	-601.2032	28.40877	0.3792609	0.2413506	4.248469
480	-571.0215	-599.4385	28.41701	0.6257625	0.3006868	4.019533
486	-581.0934	-609.7102	28.61677	0.575113	0.4509307	3.759523
492	-577.0807	-606.4847	29.404	0.575113	0.4440197	3.308126
498	-577.641	-607.1726	29.53158	0.33601	0.4440197	3.373703
